Data,Ano,Mes,Dia_semana,Mediana,Coef._Var.,Sem_acontecimentos,antes_copom,semana_copom,Hiato,semana_ata,semana_pos,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,1,2,3,4,5,6,7,8,9,10,11,12,IPC-S,cambio,Meirelles,Tombini,Goldfajn,Expectativa_ponderada,desvio_de_expectativa,BCPresidente,Semana_mes,Tipo_periodo,Mes_categ,Ano_categ,IBC-BR
1/3/2003,2003,1,5,13.23,14.41,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.16,3.4698,1,0,0,8.25,4.98,Henrique Meirelles,1,Sem acontecimentos,Janeiro,2003,100.48
1/10/2003,2003,1,5,11.59,15.87,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.16,3.2918,1,0,0,8.25,3.34,Henrique Meirelles,2,Sem acontecimentos,Janeiro,2003,100.48
1/17/2003,2003,1,5,11.56,13.7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.16,3.3632,1,0,0,8.25,3.31,Henrique Meirelles,3,Semana antes do copom,Janeiro,2003,100.48
1/24/2003,2003,1,5,11.56,12.65,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.16,3.5923,1,0,0,8.25,3.31,Henrique Meirelles,4,Semana do COPOM,Janeiro,2003,100.48
1/31/2003,2003,1,5,11.56,12.33,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.16,3.5258,1,0,0,8.25,3.31,Henrique Meirelles,5,Semana da Ata,Janeiro,2003,100.48
2/7/2003,2003,2,5,11.99,11.69,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.16,3.5802,1,0,0,8,3.99,Henrique Meirelles,1,Semana depois da Ata,Fevereiro,2003,102.01
2/14/2003,2003,2,5,10.58,16.12,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.83,3.658,1,0,0,8,2.58,Henrique Meirelles,2,Semana antes do copom,Fevereiro,2003,102.01
2/21/2003,2003,2,5,10.73,14.57,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.55,3.6097,1,0,0,8,2.73,Henrique Meirelles,3,Semana do COPOM,Fevereiro,2003,102.01
2/28/2003,2003,2,5,10.95,13.03,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.22,3.5632,1,0,0,8,2.95,Henrique Meirelles,4,Semana da Ata,Fevereiro,2003,102.01
3/7/2003,2003,3,5,11.01,12.33,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.26,3.501,1,0,0,7.75,3.26,Henrique Meirelles,1,Semana depois da Ata,Março,2003,101.76
3/14/2003,2003,3,5,9.85,13.85,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.13,3.3958,1,0,0,7.75,2.1,Henrique Meirelles,2,Semana antes do copom,Março,2003,101.76
3/21/2003,2003,3,5,9.62,14.09,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.06,3.4462,1,0,0,7.75,1.87,Henrique Meirelles,3,Semana do COPOM,Março,2003,101.76
3/28/2003,2003,3,5,9.64,13.46,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.02,3.3757,1,0,0,7.75,1.89,Henrique Meirelles,4,Semana da Ata,Março,2003,101.76
4/4/2003,2003,4,5,9.57,13.32,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.25,3.2469,1,0,0,7.5,2.07,Henrique Meirelles,1,Semana depois da Ata,Abril,2003,100.95
4/11/2003,2003,4,5,9.11,14.71,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.28,3.2147,1,0,0,7.5,1.61,Henrique Meirelles,2,Sem acontecimentos,Abril,2003,100.95
4/17/2003,2003,4,4,9.06,14.55,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.28,3.0289,1,0,0,7.5,1.56,Henrique Meirelles,3,Semana antes do copom,Abril,2003,100.95
4/25/2003,2003,4,5,9.03,12,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.22,3.0123,1,0,0,7.5,1.53,Henrique Meirelles,4,Semana do COPOM,Abril,2003,100.95
5/2/2003,2003,5,5,8.87,12.13,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.16,2.9159,1,0,0,7.25,1.62,Henrique Meirelles,1,Semana da Ata,Maio,2003,99.79
5/9/2003,2003,5,5,8.8,12.64,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.96,2.8802,1,0,0,7.25,1.55,Henrique Meirelles,2,Semana depois da Ata,Maio,2003,99.79
5/16/2003,2003,5,5,8.3,14.38,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.91,2.9731,1,0,0,7.25,1.05,Henrique Meirelles,3,Semana antes do copom,Maio,2003,99.79
5/23/2003,2003,5,5,8.22,13.29,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.83,2.9445,1,0,0,7.25,0.97,Henrique Meirelles,4,Semana do COPOM,Maio,2003,99.79
5/30/2003,2003,5,5,8.22,12.92,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.74,2.9656,1,0,0,7.25,0.97,Henrique Meirelles,5,Semana da Ata,Maio,2003,99.79
6/6/2003,2003,6,5,8.09,13.95,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.75,2.8491,1,0,0,7,1.09,Henrique Meirelles,1,Semana depois da Ata,Junho,2003,100.39
6/13/2003,2003,6,5,7.76,15.49,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.57,2.857,1,0,0,7,0.76,Henrique Meirelles,2,Semana antes do copom,Junho,2003,100.39
6/20/2003,2003,6,5,7.44,16.28,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.28,2.8933,1,0,0,7,0.44,Henrique Meirelles,3,Semana do COPOM,Junho,2003,100.39
6/27/2003,2003,6,5,6.98,16.08,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.14,2.8812,1,0,0,7,-0.02,Henrique Meirelles,4,Semana da Ata,Junho,2003,100.39
7/4/2003,2003,7,5,6.75,17.55,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.14,2.8299,1,0,0,6.75,0,Henrique Meirelles,1,Semana depois da Ata,Julho,2003,99.14
7/11/2003,2003,7,5,7.16,17.67,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.24,2.9029,1,0,0,6.75,0.41,Henrique Meirelles,2,Sem acontecimentos,Julho,2003,99.14
7/18/2003,2003,7,5,7.04,16.25,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.02,2.8774,1,0,0,6.75,0.29,Henrique Meirelles,3,Semana antes do copom,Julho,2003,99.14
7/25/2003,2003,7,5,6.5,17.25,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.02,2.8885,1,0,0,6.75,-0.25,Henrique Meirelles,4,Semana do COPOM,Julho,2003,99.14
8/1/2003,2003,8,5,6.2,18.18,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.3,3.0006,1,0,0,6.5,-0.3,Henrique Meirelles,1,Semana da Ata,Agosto,2003,99.7
8/8/2003,2003,8,5,6.64,16.97,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.42,2.9892,1,0,0,6.5,0.14,Henrique Meirelles,2,Semana depois da Ata,Agosto,2003,99.7
8/15/2003,2003,8,5,6.47,16.15,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.27,2.993,1,0,0,6.5,-0.03,Henrique Meirelles,3,Semana antes do copom,Agosto,2003,99.7
8/22/2003,2003,8,5,6.3,14.94,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.18,2.9926,1,0,0,6.5,-0.2,Henrique Meirelles,4,Semana do COPOM,Agosto,2003,99.7
8/29/2003,2003,8,5,6.25,14.86,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.1,2.9665,1,0,0,6.5,-0.25,Henrique Meirelles,5,Semana da Ata,Agosto,2003,99.7
9/5/2003,2003,9,5,6.25,12.93,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.29,2.9216,1,0,0,6.25,0,Henrique Meirelles,1,Semana depois da Ata,Setembro,2003,101.81
9/12/2003,2003,9,5,6.48,12.01,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.52,2.8959,1,0,0,6.25,0.23,Henrique Meirelles,2,Semana antes do copom,Setembro,2003,101.81
9/19/2003,2003,9,5,6.43,11.43,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.62,2.9065,1,0,0,6.25,0.18,Henrique Meirelles,3,Semana do COPOM,Setembro,2003,101.81
9/26/2003,2003,9,5,6.5,11.99,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.71,2.9373,1,0,0,6.25,0.25,Henrique Meirelles,4,Semana da Ata,Setembro,2003,101.81
10/3/2003,2003,10,5,6.55,11.82,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.77,2.8875,1,0,0,6,0.55,Henrique Meirelles,1,Semana depois da Ata,Outubro,2003,101.89
10/10/2003,2003,10,5,6.27,12.38,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.67,2.8401,1,0,0,6,0.27,Henrique Meirelles,2,Sem acontecimentos,Outubro,2003,101.89
10/17/2003,2003,10,5,6.27,12.22,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.44,2.8635,1,0,0,6,0.27,Henrique Meirelles,3,Semana antes do copom,Outubro,2003,101.89
10/24/2003,2003,10,5,6.17,10.13,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.44,2.8695,1,0,0,6,0.17,Henrique Meirelles,4,Semana do COPOM,Outubro,2003,101.89
10/31/2003,2003,10,5,6.14,10.15,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.26,2.8562,1,0,0,6,0.14,Henrique Meirelles,5,Semana da Ata,Outubro,2003,101.89
11/7/2003,2003,11,5,6.01,8.35,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.25,2.8699,1,0,0,5.75,0.26,Henrique Meirelles,1,Semana depois da Ata,Novembro,2003,101.97
11/14/2003,2003,11,5,5.93,8.04,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.27,2.9418,1,0,0,5.75,0.18,Henrique Meirelles,2,Semana antes do copom,Novembro,2003,101.97
11/21/2003,2003,11,5,5.89,7.53,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.29,2.9301,1,0,0,5.75,0.14,Henrique Meirelles,3,Semana do COPOM,Novembro,2003,101.97
11/28/2003,2003,11,5,5.8,7.65,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.31,2.9494,1,0,0,5.75,0.05,Henrique Meirelles,4,Semana da Ata,Novembro,2003,101.97
12/5/2003,2003,12,5,5.88,7.49,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.53,2.9398,1,0,0,5.5,0.38,Henrique Meirelles,1,Semana depois da Ata,Dezembro,2003,101.62
12/12/2003,2003,12,5,5.89,7.07,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,2.942,1,0,0,5.5,0.39,Henrique Meirelles,2,Semana antes do copom,Dezembro,2003,101.62
12/19/2003,2003,12,5,5.9,7.12,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.42,2.9278,1,0,0,5.5,0.4,Henrique Meirelles,3,Semana do COPOM,Dezembro,2003,101.62
12/26/2003,2003,12,5,5.9,7.75,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.46,2.8994,1,0,0,5.5,0.4,Henrique Meirelles,4,Semana da Ata,Dezembro,2003,101.62
1/2/2004,2004,1,5,5.91,7.6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.46,2.8862,1,0,0,5.416666667,0.493333333,Henrique Meirelles,1,Semana depois da Ata,Janeiro,2004,103.59
1/9/2004,2004,1,5,5.96,7.8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.37,2.8422,1,0,0,5.416666667,0.543333333,Henrique Meirelles,2,Sem acontecimentos,Janeiro,2004,103.59
1/16/2004,2004,1,5,5.96,6.64,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.66,2.8184,1,0,0,5.416666667,0.543333333,Henrique Meirelles,3,Semana antes do copom,Janeiro,2004,103.59
1/23/2004,2004,1,5,5.99,6.59,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8,2.8435,1,0,0,5.416666667,0.573333333,Henrique Meirelles,4,Semana do COPOM,Janeiro,2004,103.59
1/30/2004,2004,1,5,6.03,6.45,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2.9409,1,0,0,5.416666667,0.613333333,Henrique Meirelles,5,Hiato,Janeiro,2004,103.59
2/6/2004,2004,2,5,6.02,6.24,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.23,2.95,1,0,0,5.333333333,0.686666667,Henrique Meirelles,1,Hiato,Fevereiro,2004,104.47
2/13/2004,2004,2,5,5.69,7.26,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.92,2.9085,1,0,0,5.333333333,0.356666667,Henrique Meirelles,2,Hiato,Fevereiro,2004,104.47
2/20/2004,2004,2,5,5.64,7.56,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.58,2.9878,1,0,0,5.333333333,0.306666667,Henrique Meirelles,3,Semana Mista,Fevereiro,2004,104.47
2/27/2004,2004,2,5,5.64,7.46,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.26,2.9138,1,0,0,5.333333333,0.306666667,Henrique Meirelles,4,Semana da Ata,Fevereiro,2004,104.47
3/5/2004,2004,3,5,5.64,7.05,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.38,2.879,1,0,0,5.25,0.39,Henrique Meirelles,1,Sem acontecimentos,Março,2004,105.83
3/12/2004,2004,3,5,5.38,8.39,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.48,2.9063,1,0,0,5.25,0.13,Henrique Meirelles,2,Semana antes do copom,Março,2004,105.83
3/19/2004,2004,3,5,5.46,8.2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.47,2.9,1,0,0,5.25,0.21,Henrique Meirelles,3,Semana do COPOM,Março,2004,105.83
3/26/2004,2004,3,5,5.52,8.25,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.52,2.941,1,0,0,5.25,0.27,Henrique Meirelles,4,Semana da Ata,Março,2004,105.83
4/2/2004,2004,4,5,5.55,7.75,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.52,2.893,1,0,0,5.166666667,0.383333333,Henrique Meirelles,1,Semana depois da Ata,Abril,2004,106.43
4/8/2004,2004,4,4,5.48,7.63,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.47,2.8802,1,0,0,5.166666667,0.313333333,Henrique Meirelles,2,Semana antes do copom,Abril,2004,106.43
4/16/2004,2004,4,5,5.58,8.08,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.32,2.9153,1,0,0,5.166666667,0.413333333,Henrique Meirelles,3,Semana do COPOM,Abril,2004,106.43
4/23/2004,2004,4,5,5.67,8.01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.28,2.9173,1,0,0,5.166666667,0.503333333,Henrique Meirelles,4,Semana da Ata,Abril,2004,106.43
4/30/2004,2004,4,5,5.6,7.7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.28,2.9447,1,0,0,5.166666667,0.433333333,Henrique Meirelles,5,Semana depois da Ata,Abril,2004,106.43
5/7/2004,2004,5,5,5.53,7.81,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.42,3.0504,1,0,0,5.083333333,0.446666667,Henrique Meirelles,1,Sem acontecimentos,Maio,2004,106.35
5/14/2004,2004,5,5,5.65,8.85,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.52,3.0982,1,0,0,5.083333333,0.566666667,Henrique Meirelles,2,Semana antes do copom,Maio,2004,106.35
5/21/2004,2004,5,5,5.82,9.23,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.59,3.2051,1,0,0,5.083333333,0.736666667,Henrique Meirelles,3,Semana do COPOM,Maio,2004,106.35
5/28/2004,2004,5,5,6,8.53,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.68,3.0961,1,0,0,5.083333333,0.916666667,Henrique Meirelles,4,Semana da Ata,Maio,2004,106.35
6/4/2004,2004,6,5,6.09,7.71,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.91,3.1335,1,0,0,5,1.09,Henrique Meirelles,1,Semana depois da Ata,Junho,2004,107.37
6/11/2004,2004,6,5,5.98,10.49,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.85,3.1402,1,0,0,5,0.98,Henrique Meirelles,2,Semana antes do copom,Junho,2004,107.37
6/18/2004,2004,6,5,6.17,10.1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.77,3.1388,1,0,0,5,1.17,Henrique Meirelles,3,Semana do COPOM,Junho,2004,107.37
6/25/2004,2004,6,5,6.25,9.45,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.82,3.1096,1,0,0,5,1.25,Henrique Meirelles,4,Semana da Ata,Junho,2004,107.37
7/2/2004,2004,7,5,6.48,9.08,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.82,3.0502,1,0,0,4.916666667,1.563333333,Henrique Meirelles,1,Semana depois da Ata,Julho,2004,107.85
7/9/2004,2004,7,5,6.26,9.42,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.86,3.0429,1,0,0,4.916666667,1.343333333,Henrique Meirelles,2,Sem acontecimentos,Julho,2004,107.85
7/16/2004,2004,7,5,6.27,8.91,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.85,3.0021,1,0,0,4.916666667,1.353333333,Henrique Meirelles,3,Semana antes do copom,Julho,2004,107.85
7/23/2004,2004,7,5,6.29,8.68,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.69,3.0465,1,0,0,4.916666667,1.373333333,Henrique Meirelles,4,Semana do COPOM,Julho,2004,107.85
7/30/2004,2004,7,5,6.29,8.45,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.58,3.0268,1,0,0,4.916666667,1.373333333,Henrique Meirelles,5,Semana da Ata,Julho,2004,107.85
8/6/2004,2004,8,5,6.4,8.13,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.69,3.0489,1,0,0,4.833333333,1.566666667,Henrique Meirelles,1,Semana depois da Ata,Agosto,2004,108.2
8/13/2004,2004,8,5,6.18,8.76,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.8,3.0235,1,0,0,4.833333333,1.346666667,Henrique Meirelles,2,Semana antes do copom,Agosto,2004,108.2
8/20/2004,2004,8,5,6.25,8.85,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.85,2.9742,1,0,0,4.833333333,1.416666667,Henrique Meirelles,3,Semana do COPOM,Agosto,2004,108.2
8/27/2004,2004,8,5,6.27,10.04,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.91,2.9571,1,0,0,4.833333333,1.436666667,Henrique Meirelles,4,Semana da Ata,Agosto,2004,108.2
9/3/2004,2004,9,5,6.28,10.92,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.91,2.9289,1,0,0,4.75,1.53,Henrique Meirelles,1,Semana depois da Ata,Setembro,2004,109.42
9/10/2004,2004,9,5,6.19,11.84,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.76,2.8988,1,0,0,4.75,1.44,Henrique Meirelles,2,Semana antes do copom,Setembro,2004,109.42
9/17/2004,2004,9,5,6.25,10.14,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.19,2.8744,1,0,0,4.75,1.5,Henrique Meirelles,3,Semana do COPOM,Setembro,2004,109.42
9/24/2004,2004,9,5,6.23,9.75,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.19,2.8735,1,0,0,4.75,1.48,Henrique Meirelles,4,Semana da Ata,Setembro,2004,109.42
10/1/2004,2004,10,5,6.18,9.85,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.8513,1,0,0,4.666666667,1.513333333,Henrique Meirelles,1,Semana depois da Ata,Outubro,2004,108.67
10/8/2004,2004,10,5,6.17,11.02,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.12,2.8251,1,0,0,4.666666667,1.503333333,Henrique Meirelles,2,Sem acontecimentos,Outubro,2004,108.67
